,G107,○,"■操作手順
Ctrl＋下矢印キー、またはTabキーで移動して、Enterキー押下。

■音声読み上げ
Ctrl＋下矢印キー、またはTabキー
「用語解説 新しいウィンドウで表示　リンク」
Enterキー押下でリンク先ページが開く",,,,,,,,
,G108,○,"■操作手順
1.Ctrl＋下矢印キー、またはTabキーでテキストフィールドへ移動
2. Ctrl＋下矢印キー、またはTabキーで［検索］ボタンへ移動

■音声読み上げ
Ctrl＋下矢印キー、またはTabキー
「検索キーワードを入力　のエディット」
Ctrl＋下矢印キー、またはTabキー
「検索　のプッシュボタン」",,,,,,,,
,G115-1,○,"■操作手順
Ctrl＋下矢印キー、またはTabキーでリンクへ移動

■音声読み上げ
Ctrl＋下矢印キー、またはTabキー
「ダウンロードページ　リンク」",,,,,,,,
,G115-2,×,"■操作手順
Ctrl＋下矢印キーで行読み、またはShiftキーで全文読み

■音声読み上げ
「夏目漱石の小説「吾輩は猫である」は、猫の視点から描かれている。書き出しはこうだ。」
「吾輩は猫である。名前はまだ無い。
どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれは書生という人間中で一番獰悪な種族であったそうだ。この書生というのは時々我々を捕えて煮て食うという話である。しかしその当時は何という考もなかったから別段恐しいとも思わなかった。 」",引用元や引用であることが分かるようには読み上げない,,,,,,,
,G115-3,×,"■操作手順
Ctrl＋下矢印キーで行読み、またはShiftキーで全文読み

■音声読み上げ
「エンジンを始動する方法　エンジンを始動する前に、ギアがニュートラルにあることを確認してください。次にキーをまわして点火します。エンジンが始動するはずです。」",強調されていることが分かるようには読み上げない,,,,,,,
,G115-4,×,"■操作手順
Ctrl＋下矢印キーで行読み、またはShiftキーで全文読み

■音声読み上げ
...彼女が　本当に　言いたかったのは、これは良いどころではなく、むしろ　素晴らしい　ということだった！…",強調されていることが分かるようには読み上げない,,,,,,,
,G115-5,×,"■操作手順
Ctrl＋下矢印キーで行読み、またはShiftキーで全文読み

■音声読み上げ
「新しい単語は、背景色をシアンにしてハイライトかつ強調されています。そのプレー対する　痛烈な　批評は、少々厳しすぎるように思われました。」",強調されていることが分かるようには読み上げない,,,,,,,
,G117,○,"■操作手順
Ctrl＋下矢印キーで行読み、またはShiftキーで全文読み

■音声読み上げ
「太字は新製品です。
製品 A 　製品 B（新製品） 　製品 C 
斜体は特価品です。
製品 A 　製品 B（特価品）　製品 C
・・・ 」",それぞれ括弧書き部分を読むので理解できる,,,,,,,
,G122,○,"■操作手順
Ctrl＋下矢印キーで行読み、またはTabキーで移動

■音声読み上げ
Ctrl＋下矢印キー
「お名前必須」
Ctrl＋下矢印キー
「お名前必須　のエディット　文字入力」",,,,,,,,
,G123-4a,△,"■操作手順
1.「メイン ナビゲーションをスキップ」を押下した後、Ctrl＋下矢印キーまたはTabキーを押下
2.「サブ ナビゲーションをスキップ」を押下した後、Ctrl＋下矢印キーまたはTabキーを押下
3.「ウルトラ サブ ナビゲーションをスキップ」を押下した後、Ctrl＋下矢印キーまたはTabキーを押下

■音声読み上げ（Ctrl＋下矢印キーの場合：○）
「メイン ナビゲーションをスキップ」
Enterキー
「サブ ナビゲーション」
Ctrl＋下矢印キー
「サブ ナビゲーションをスキップ」
Enterキー
Ctrl＋下矢印キー
「ウルトラ サブ ナビゲーション」
Ctrl＋下矢印キー
「ウルトラ サブ ナビゲーションをスキップ」
Enterキー
Ctrl＋下矢印キー
「アクセシビリティを考える会」","■音声読み上げ（Tabキーの場合：×）
「メイン ナビゲーションをスキップ」
Enterキー
「サブ ナビゲーション」
Tabキー
「メイン ナビゲーションをスキップ」
Tabキーで移動
「サブ ナビゲーションをスキップ」
Enterキー
Tabキー
「ウルトラ サブ ナビゲーション」
Tabキー
（サブナビゲーションの）「リンクA」
Tabキーで移動
「ウルトラ サブ ナビゲーションをスキップ」
Enterキー
Tabキー
「アクセシビリティを考える会」
Tabキー
（ウルトラサブナビゲーションの）「リンクA」",,,,,,,
,G123-4b,△,"■操作手順
1.「メイン ナビゲーションをスキップ」を押下した後、Ctrl＋下矢印キーまたはTabキーを押下
2.「サブ ナビゲーションをスキップ」を押下した後、Ctrl＋下矢印キーまたはTabキーを押下
3.「ウルトラ サブ ナビゲーションをスキップ」を押下した後、Ctrl＋下矢印キーまたはTabキーを押下

■音声読み上げ（Ctrl＋下矢印キーの場合：○）
「メイン ナビゲーションをスキップ」
Enterキー
「サブ ナビゲーション」
Ctrl＋下矢印キー
「サブ ナビゲーションをスキップ」
Enterキー
Ctrl＋下矢印キー
「ウルトラ サブ ナビゲーション」
Ctrl＋下矢印キー
「ウルトラ サブ ナビゲーションをスキップ」
Enterキー
Ctrl＋下矢印キー
「アクセシビリティを考える会」","■音声読み上げ（Tabキーの場合：×）
「メイン ナビゲーションをスキップ」
Enterキー
「サブ ナビゲーション」
Tabキー
「メイン ナビゲーションをスキップ」
Tabキーで移動
「サブ ナビゲーションをスキップ」
Enterキー
Tabキー
「ウルトラ サブ ナビゲーション」
Tabキー
（サブナビゲーションの）「リンクA」
Tabキーで移動
「ウルトラ サブ ナビゲーションをスキップ」
Enterキー
Tabキー
「アクセシビリティを考える会」
Tabキー
（ウルトラサブナビゲーションの）「リンクA」",,,,,,,
