,G115-2,○,"【1】cite要素でマークアップされた「吾輩は猫である」が、引用元であることが分かるように表示されるか（例：イタリック/斜体で表示される）を確認する。
【2】blockquote要素でマークアップされた部分「吾輩は猫である。名前はまだ無い。･･･思わなかった。」が、引用部分であることが分かるように表示されるか（例：行頭がインデントされる）を確認する。

","【1】○
「吾輩は猫である」が、引用元であることが分かるように斜体（イタリック）で表示されていることを確認した。
【2】○
「吾輩は猫である。名前はまだ無い。･･･思わなかった。」が、引用部分であることが分かるようにインデントされて表示されていることを確認した。

",,,,
,G115-3,○,"【1】strong要素でマークアップされた「ギアがニュートラルにあることを確認してください」が、強調されていることが分かるように表示されるか（例：太字で表示される）を確認する。

","【1】○
「ギアがニュートラルにあることを確認してください」が太字で強調されていることを確認した。

",,,,
,G115-4,○,"【1】CSSをオフにした状態で、em要素（「本当に」）又はstrong要素（「素晴らしい」）でマークアップした箇所を他とは区別のつく見た目でレンダリングするかを確認する。
【2】em要素とstrong要素との区別も付くようにレンダリングするか（多くの場合、em要素はイタリック、strong要素は太字）を確認する。

","【1】○
【2】○
em要素とstrong要素との区別も付くように、“本当に”はイタリック、“素晴らしい”は太字でレンダリングすることを確認した。

",,,,
,G115-5,○,"【1】：em要素でマークアップされた「痛烈な」の背景色がCSSで指定したシアンで表示されるかを確認する。
【2】em要素でマークアップされた「痛烈な」が標準のフォントスタイルで表示されるかを確認する。

","【1】○
em要素でマークアップされた「痛烈な」の背景色がCSSで指定したシアンで表示されていることを確認した。
【2】○
em要素でマークアップされた「痛烈な」が標準のフォントスタイルで表示されていることを確認した。

",,,,
,G117,‐,テスト不要,,,,,
,G122,‐,テスト不要,,,,,
,G123-4a,△,"【1】4つのスキップリンク「メインコンテンツへスキップ」、「メイン ナビゲーションをスキップ」、「サブ ナビゲーションをスキップ」、「ウルトラ サブ ナビゲーションをスキップ」が常に表示されているかを確認する。
【2】「メイン ナビゲーションをスキップ」を押下した後、Tabキーを押すと「サブ ナビゲーションをスキップ」にフォーカスが移動するかを確認する。
【3】：「サブ ナビゲーションをスキップ」を押下した後、Tabキーを押すと「ウルトラ サブ ナビゲーションをスキップ」にフォーカスが移動するかを確認する。
【4】：「ウルトラ サブ ナビゲーションをスキップ」を押下した後、Tabキーを押すとリンク「アクセシビリティ」にフォーカスが移動するかを確認する。

","【1】○
4つのスキップリンクは常に表示されることを確認した。
【2】×
「メイン ナビゲーションをスキップ」を押下した後、Tabキーを押すと「リンクA」に移動する。
【3】×
「サブ ナビゲーションをスキップ」を押下した後、Tabキーを押すと「リンクA」に移動する。
【4】×
「ウルトラ サブ ナビゲーションをスキップ」を押下した後、Tabキーを押すと「リンクA」に移動する。

",,,,
,G123-4b,△,"【1】4つのスキップリンク「メインコンテンツへスキップ」、「メイン ナビゲーションをスキップ」、「サブ ナビゲーションをスキップ」、「ウルトラ サブ ナビゲーションをスキップ」が表示されていないかを確認する。
【2】「メイン ナビゲーションをスキップ」にフォーカスを移動すると表示され、それを押下した後、Tabキーを押すと「サブ ナビゲーションをスキップ」にフォーカスが移動するかを確認する。
【3】「サブ ナビゲーションをスキップ」にフォーカスを移動すると表示され、それを押下した後、Tabキーを押すと「ウルトラ サブ ナビゲーションをスキップ」にフォーカスが移動するかを確認する。
【4】「ウルトラ サブ ナビゲーションをスキップ」にフォーカスを移動すると表示され、それを押下した後、Tabキーを押すとリンク「アクセシビリティ」にフォーカスが移動するかを確認する。
","【1】○
4つのスキップリンクは表示されていないことを確認した。
【2】×
「メイン ナビゲーションをスキップ」にフォーカスを移動すると表示され、それを押下した後、Tabキーを押すと「リンクA」に移動する。
【3】×
「サブ ナビゲーションをスキップ」にフォーカスを移動すると表示され、それを押下した後、Tabキーを押すと「リンクA」に移動する。
【4】×
「ウルトラ サブ ナビゲーションをスキップ」にフォーカスを移動すると表示され、それを押下した後、Tabキーを押すと「リンクA」に移動する。

",,,,
,G124-1,△,"【1】3つのスキップリンク「メインコンテンツへスキップ」「検索ボックスへスキップ」「メインメニューへスキップ」が常に表示されているかを確認する。
【2】「メインコンテンツへスキップ」を押下した後、次にTabキーを押下するとリンク「メインコンテンツにあるリンク」にフォーカスが移動するかを確認する。
【3】「検索ボックスへスキップ」を押下した後、次にTabキーを押下すると検索のテキストフィールドにフォーカスが移動するかを確認する。
【4】「メインメニューへスキップ」を押下した後、次にTabキーを押下するとリンク「このサイトについて」にフォーカスが移動するかを確認する。

","【1】○
3つのスキップリンクは常に表示されていることを確認した。
【2】×
「メインコンテンツへスキップ」を押下した後、次にTabキーを押下すると「検索ボックスへスキップ」にフォーカスが移動する。
【3】×
「検索ボックスへスキップ」を押下した後次にTabキーを押下すると、「メインコンテンツへスキップ」にフォーカスが移動する。
【4】×：「メインメニューへスキップ」を押下した後、次にTabキーを押下するとテキストフィールドにフォーカスが移動する。

",,,,
,G124-2,△,"【1】3つのスキップリンク「メインコンテンツへスキップ」「検索ボックスへスキップ」「メインメニューへスキップ」が、常には表示されておらず、フォーカスを移動させた際のみ表示されるかを確認する。
【2】スキップリンク「メインコンテンツへスキップ」を押下した後、次にTabキーを押下するとリンク「メインコンテンツにあるリンク」にフォーカスが移動するかを確認する。
【3】「検索ボックスへスキップ」を押下した後、次にTabキーを押下すると検索のテキストフィールドにフォーカスが移動するかを確認する。
【4】「メインメニューへスキップ」を押下した後、次にTabキーを押下するとリンク「このサイトについて」にフォーカスが移動するかを確認する。

","【1】○
3つのスキップリンク「メインコンテンツへスキップ」「検索ボックスへスキップ」「メインメニューへスキップ」は常に表示されておらず、フォーカスが当たった時だけ表示されることを確認した。
【2】×
「メインコンテンツへスキップ」を押下した後、次にTabキーを押下すると「検索ボックスへスキップ」にフォーカスが移動する。
【3】×
「検索ボックスへスキップ」を押下した後次にTabキーを押下すると、「メインコンテンツへスキップ」にフォーカスが移動する。
【4】×：「メインメニューへスキップ」を押下した後、次にTabキーを押下するとテキストフィールドにフォーカスが移動する。

",,,,
