アクセシビリティサポーテッド検証結果一覧 [等級A]  2012年4月版,,,,,,,,,,,,,,,,,,,,,,,
＊ この検証結果は、ウェブアクセシビリティ基盤委員会 実装ワーキンググループ（WG2）が提供する参考情報であり、予告なく変更されることがあります。,,,,,,,,,,,,,,,,,,,,,,,
＊ この情報をご利用になる前に、ライセンス（利用許諾条項）と免責事項を必ずご確認ください。,,,,,,,,,,,,,,,,,,,,,,,
＊最新版は、ウェブアクセシビリティ基盤委員会のサイトでご確認ください（http://waic.jp/docs/jis2010/as.html）。,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
記号の説明,○,サポートあり,△,一部サポート,×,サポートなし,？,判定できず,-,テスト不要,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,検証結果　○/△/×/？/ - ,,,,,,,,,,,,,,,,,,,,,,
,XP,Vista,7,7,XP,7,7,Mac10.5,Mac 10.6.6,XP,XP,XP,XP,7,7,7,,,,,,,
,IE6,IE7,IE8,IE9,Firefox 3.5,Firefox 4.0,Firefox 9.0,Safari 3.2,"Safari 5.0.3
(＊Safari 5.1)",IE6,IE6,IE6,IE6,IE8,Firefox 3.6.3,Firefox 4.0.1,,,,,,,
テストファイルNo.,"支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし",JAWS 9,HPR 3.04,PC-Talker XP 3.06,PC-Talker XP 3.06 + NetReader 1.18,FocusTalk V3,NVDA 2010.1J,NVDA 2011.1,,,,,,,
達成基準 7.1.1.1 非テキストコンテンツに関する達成基準,,,,,,,,,,,,,,,,,,,,,,,
達成基準 7.2.4.3 フォーカス順序に関する達成基準,,,,,,,,,,,,,,,,,,,,,,,
H004-1,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
H004-2,○,○,○,○,○,○,○,○,○,○,○,○,×,○,○,○,,,,,,,
H004-3a,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
H004-3b,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
SCR026,○,○,○,○,○,○,-,-,○*,○,×,○,○,○,-,○,2012/4 修正,,,,,,
SCR037,○,○,○,○,○,○,-,-,○*,○,○,○,○,○,-,○,2012/4 修正,,,,,,
達成基準 7.2.4.4 文脈におけるリンクの目的に関する達成基準,,,,,,,,,,,,,,,,,,,,,,,
G053,-,-,-,-,-,-,-,-,-,○,△,×,△,×,-,○,2012/4 修正,,,,,,
G091,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
H002-1,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
H002-2,○,○,○,○,○,○,○,×,×,○,○,×,△,×,○,○,,,,,,,
H024,×,×,×,×,×,×,×,×,×,○,○,○,○,○,○,○,,,,,,,
H030-1,-,-,-,-,-,-,‐,-,-,○,○,○,○,○,○,○,,,,,,,
H030-2,○,○,○,○,○,○,○,×,×,○,○,○,○,○,○,○,,,,,,,
H030-3,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
H030-4,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
H030-5,×,○,○,○,○,○,○,×,×,○,○,×,△,×,○,○,,,,,,,
H033-1,△,△,△,△,△,△,△,△,△,×,×,×,×,×,×,×,,,,,,,
H033-2,△,△,△,△,△,△,△,△,△,×,×,×,×,×,×,×,,,,,,,
H077-1,-,-,-,-,-,-,-,-,-,○,×,×,△,×,-,○,2012/4 修正,,,,,,
H077-2,-,-,-,-,-,-,-,-,-,×,×,×,△,×,-,○,2012/4 修正,,,,,,
H078,-,-,-,-,-,-,-,-,-,○,×,×,△,×,-,○,2012/4 修正,,,,,,
H079,-,-,-,-,-,-,-,-,-,○,○,×,×,×,-,×,2012/4 修正,,,,,,
H080-1,-,-,-,-,-,-,-,-,-,○,×,×,△,×,-,△,2012/4 修正,,,,,,
H080-2,-,-,-,-,-,-,-,-,-,○,×,×,△,×,-,△,2012/4 修正,,,,,,
H080-3,-,-,-,-,-,-,-,-,-,○,×,×,△,×,-,○,2012/4 修正,,,,,,
H081-1,-,-,-,-,-,-,-,-,-,△,×,×,×,×,-,×,2012/4 修正,,,,,,
H081-2,-,-,-,-,-,-,-,-,-,△,×,×,×,×,-,×,2012/4 修正,,,,,,
C007,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
SCR030,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
達成基準 7.3.1.1 ページの言語に関する達成基準,,,,,,,,,,,,,,,,,,,,,,,
H057-1,○,○,○,○,○,○,○,○,○,-,-,-,-,-,×,×,,,,,,,
H057-2,○,○,○,○,○,○,○,○,○,-,-,-,-,-,×,×,,,,,,,
H057-3,○,○,○,○,○,○,○,○,○,-,-,-,-,-,×,×,,,,,,,
達成基準 7.3.2.1 オンフォーカスに関する達成基準,,,,,,,,,,,,,,,,,,,,,,,
G107,○,○,○,○,○,△,○,○,○,○,○,○,○,○,○,○,,,,,,,
達成基準 7.3.2.2 ユーザインタフェースコンポーネントによる状況の変化に関する達成基準,,,,,,,,,,,,,,,,,,,,,,,
H032-1,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
H032-2,○,○,○,○,○,○,○,△,○,○,○,○,○,○,○,○,,,,,,,
H084-1,○,○,○,○,○,○,○,△,○,○,○,○,○,○,○,○,,,,,,,
H084-2,○,○,○,○,○,○,○,△,○,○,○,○,○,○,○,○,,,,,,,
達成基準 7.3.3.1 入力エラー箇所の特定に関する達成基準,,,,,,,,,,,,,,,,,,,,,,,
SCR018,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
SCR032,○,○,○,○,○,○,○,○,○,○,△,○,△,△,○,○,,,,,,,
達成基準 7.3.3.2 ラベル又は説明文に関する達成基準,,,,,,,,,,,,,,,,,,,,,,,
H044-1,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
H044-2,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
H044-3,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
H065-1,×,○,△,△,○,△,△,○,△,○,○,○,○,×,○,○,,,,,,,
H065-2,△,△,△,△,△,△,△,△,△,○,○,○,○,○,○,○,,,,,,,
H065-3,△,△,△,△,△,△,△,△,△,○,○,○,○,○,○,○,,,,,,,
H071-1,○,○,○,○,○,○,○,○,○,○,○,○,○,×,×,×,,,,,,,
H071-2,○,○,○,○,○,○,○,○,○,○,○,○,×,×,×,×,,,,,,,
H071-3,○,○,○,○,○,○,○,○,○,○,○,○,○,×,×,×,,,,,,,
H071-4,○,○,○,○,○,○,○,○,○,○,○,○,×,×,△,○,,,,,,,
達成基準 7.4.1.1 構文解析に関する達成基準,,,,,,,,,,,,,,,,,,,,,,,
