アクセシビリティサポーテッド検証結果一覧 [等級A]  2012年4月版,,,,,,,,,,,,,,,,,,,,,,,
＊ この検証結果は、ウェブアクセシビリティ基盤委員会 実装ワーキンググループ（WG2）が提供する参考情報であり、予告なく変更されることがあります。,,,,,,,,,,,,,,,,,,,,,,,
＊ この情報をご利用になる前に、ライセンス（利用許諾条項）と免責事項を必ずご確認ください。,,,,,,,,,,,,,,,,,,,,,,,
＊最新版は、ウェブアクセシビリティ基盤委員会のサイトでご確認ください（http://waic.jp/docs/jis2010/as.html）。,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
記号の説明,○,サポートあり,△,一部サポート,×,サポートなし,？,判定できず,-,テスト不要,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,検証結果　○/△/×/？/ - ,,,,,,,,,,,,,,,,,,,,,,
,XP,Vista,7,7,XP,7,7,Mac10.5,Mac 10.6.6,XP,XP,XP,XP,7,7,7,,,,,,,
,IE6,IE7,IE8,IE9,Firefox 3.5,Firefox 4.0,Firefox 9.0,Safari 3.2,"Safari 5.0.3
(＊Safari 5.1)",IE6,IE6,IE6,IE6,IE8,Firefox 3.6.3,Firefox 4.0.1,,,,,,,
テストファイルNo.,"支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし",JAWS 9,HPR 3.04,PC-Talker XP 3.06,PC-Talker XP 3.06 + NetReader 1.18,FocusTalk V3,NVDA 2010.1J,NVDA 2011.1,,,,,,,
達成基準 7.1.1.1 非テキストコンテンツに関する達成基準,,,,,,,,,,,,,,,,,,,,,,,
SCR033,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
達成基準 7.2.2.1 調整可能な制限時間に関する達成基準,,,,,,,,,,,,,,,,,,,,,,,
SCR016,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
SCR036,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
達成基準 7.2.2.2 一時停止，停止及び非表示に関する達成基準,,,,,,,,,,,,,,,,,,,,,,,
G187,○,○,○,○,○,○,○,×,×,-,-,-,-,-,-,-,,,,,,,
SCR022,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
達成基準 7.2.3.1 3回のせん（閃）光又はいき（閾）値以下に関する達成基準,,,,,,,,,,,,,,,,,,,,,,,
検証の対象となる実装方法なし,,,,,,,,,,,,,,,,,,,,,,,
達成基準 7.2.4.1 ブロックスキップに関する達成基準,,,,,,,,,,,,,,,,,,,,,,,
G001-1,△,△,△,△,○,○,○,○,○,○,○,×,○,○,○,○,,,,,,,
G001-2,△,△,△,△,○,○,○,○,○,○,○,×,○,○,○,○,,,,,,,
G123-4a,△,△,△,△,○,○,○,△,△,○,○,×,○,△,○,○,,,,,,,
G123-4b,△,△,△,△,○,○,○,△,△,○,○,×,○,△,○,○,,,,,,,
G124-1,△,△,△,△,○,○,○,△,△,○,○,×,○,○,○,○,,,,,,,
G124-2,△,△,△,△,○,○,○,△,△,○,○,×,○,○,○,○,,,,,,,
H050-1,×,×,×,×,×,×,×,×,×,×,△,×,△,×,×,×,,,,,,,
H050-2,-,-,-,-,-,-,-,-,-,×,△,×,×,×,×,×,,,,,,,
H064-1,-,-,-,-,-,-,-,-,-,○,○,×,×,×,×,×,,,,,,,
H064-2,-,-,-,-,-,-,-,-,-,○,○,×,×,×,×,×,,,,,,,
H069-1,×,×,×,×,×,×,×,×,×,○,○,×,○,○,○,○,,,,,,,
H070,○,○,○,△,○,○,○,×,×,○,○,×,×,×,×,×,,,,,,,
C006,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,×,,,,,,,
SCR028-1,○,○,○,○,○,○,○,○,○,○,×,○,△,△,○,○,,,,,,,
SCR028-2,○,○,○,○,○,○,○,○,○,○,○,○,△,△,○,○,,,,,,,
達成基準 7.2.4.2 ページタイトルに関する達成基準,,,,,,,,,,,,,,,,,,,,,,,
G088-1,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
H025,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
