,H004-2,○,"■操作手順
Tabキーで移動すると、テキストフィールド、検索ボタン、携帯サイト、サイトマップの　順でフォーカスが移動する。
■音声よみあげ
「サイトマップのエディット　検索のボタン　携帯サイト　サイトマップ」","FocusTalkの「キー操作モード」がオフの場合。
　「キー操作モード」がオンの場合は、携帯サイト、サイトマップ、テキストフィールド、　検索ボタンの順でフォーカスが移動する。",,,,,,,,
,H004-3a,○,"■操作手順
Tabで進めてゆくと「リンク1」「リンク3」「リンク2」「リンク4」へと移動してゆく
■読み上げ
「リンク1　リンク3　リンク2　リンク4」",FocusTalk専用のキー操作モードの場合「リンク1」「リンク2」「リンク3」「リンク4」へと移動してゆく,,,,,,,,
,H004-3b,○,"■操作手順
Tabで進めてゆくと左から順番に「リンク1」「リンク2」「リンク21」「リンク3」「リンク20」へと移動してゆく
■読み上げ
「リンク1　リンク2　リンク21　リンク3　リンク20」",,,,,,,,,
,H024,○,"■操作手順
Tabキーでフォーカスを移動させると、順に「S棟（ソリューション棟）、未訪問のリンク」、「O棟（オフィス棟）未訪問のリンク」、「C棟（共通棟）、未訪問のリンク」と読み上げた。
■音声読み上げ
「S棟（ソリューション棟）、未訪問のリンク」、「O棟（オフィス棟）未訪問のリンク」、「C棟（共通棟）、未訪問のリンク」
",,,,,,,,,
,H025,○,"■操作手順
１．本テスト対象のコードは別ファイルになっています。を「Enter」キーで選択し、ページが遷移するが、ページ全文読みモードでは何も読み上げられなかった。
２．Ctrl+Alt+Aで、ウィンドウタイトルバーの読み上げモードにすると、「アクティブウィンドウ ワールドワイドウェブコンソーシアム - Windows Internet Explorer」と読み上げられた。
■音声読み上げ
１．「ピリオド　ピリオド・・・」
２．「アクティブウィンドウ ワールドワイドウェブコンソーシアム - Windows Internet Explorer」


",,,,,,,,,
,H030-1,○,"■操作手順
Tabキーでフォーカスを当てると、「首相官邸ホームページ 。未訪問のリンク」と読み上げられた。
■音声読み上げ
「首相官邸ホームページ 。未訪問のリンク」",,,,,,,,,
,H030-2,○,"■操作手順
画像リンクにフォーカスが移動すると、「東京駅構内の最新のルート」と読み上げられた。
■音声読み上げ
「東京駅構内の最新のルート、未訪問のリンク」",,,,,,,,,
,H030-3,○,"■操作手順
画像リンクにフォーカスが移動すると、「東京駅構内の最新のルート、未訪問のリンク」と読み上げられた。
■音声読み上げ
「東京駅構内の最新のルート、未訪問のリンク」",,,,,,,,,
,H030-4,○,"■操作手順
Tabキーでフォーカスを当てると、「首相官邸ホームページ  未訪問のリンク」と読み上げられた。
■音声読み上げ
「首相官邸ホームページ  未訪問のリンク」",,,,,,,,,
,H030-5,×,"■操作手順
リンクにフォーカスが移動すると、「施設ご利用の手引き、未訪問のリンク」と読み上げたが、「PDFファイル」は読み上げられなかった。
■音声読み上げ
「施設ご利用の手引き、未訪問のリンク」",,,,,,,,,
,H032-1,○,"■操作手順
[申し込む]ボタンを押下し、フォームのアクション処理を確認した。
■音声読み上げ
「シンし込むのボタン」",,,,,,,,,
,H032-2,○,"■操作手順
セレクトメニューで選択肢を選んだだけでは何も起こらず、[選択したページへ移動する]ボタンを押下すると選択したページへリダイレクトされた。",,,,,,,,,
,H033-1,×,"■操作手順
Tabキーでフォーカスを移動させると、「富士通株式会社の公式サイト 未訪問のリンク」と読み上げた。テキスト「富士通」は読み上げられなかった。Title属性による補足説明があることは説明されない。
■音声読み上げ
「富士通株式会社の公式サイト 未訪問のリンク」
",,,,,,,,,
,H033-2,×,"■操作手順
「新しいウィンドウで開く」と読み上げ、リンクの文字列「富士通 公開サイト」について読み上げは行わない
■音声読み上げ
「新しいウィンドウで開く」","キー操作モードがONの場合、FocusTalkはページの内容は読み上げない。矢印キーで左、上矢印キーを押下すると「ページの先頭です」と読み上げ、下、右矢印キーを押下しても「ページの終端です」と読み上げ、ページの内容を読み上げない。
左記はキー操作モードをOFF(ブラウザ操作)に変更し、Tabキーで「富士通 公開サイト」にフォーカスを移動した結果を記載している。",,,,,,,,
,H035,○,"■操作手順
ページに遷移すると、「三目並べゲーム(applet要素のボディ)」と読み上げられた。
■音声読み上げ
「三目並べゲーム(applet要素のボディ)」",,,,,,,,,
,H036,○,"■操作手順
ボタンにフォーカスを移動させると、「送信のボタン」と読み上げた。
■音声読み上げ
「送信のボタン」",,,,,,,,,
