,G117,○,"■操作手順
それぞれの「製品B」が、「新製品」、「特価品」、「注目商品」、「生産中止」であることがは、（）内のテキストで分かる。太字・斜体・取り消し線・アンダーラインではわからない。
■音声読み上げ
「イチ　ピリオド　太字は新製品です　マル
製品　A　製品　B　カッコ　新製品　カッコトジ　製品　C・・・」 ",,,,,,
,G122,○,"■操作手順
「お名前」が必須項目であることが音声だけでも伝わる。

■音声読み上げ
「お名前　カッコ　必須　カッコトジ　コロン　文字入力　エンター　で　入力」",,,,,,
,G123-4a,○,"■操作手順
「メイン ナビゲーションをスキップ」を押下した後、Tabキーを押すと「サブ ナビゲーションをスキップ」にフォーカスが移動する。
「サブ ナビゲーションをスキップ」を押下した後、Tabキーを押すと「ウルトラ サブ ナビゲーションをスキップ」にフォーカスが移動する。
「ウルトラ サブ ナビゲーションをスキップ」を押下した後、Tabキーを押すとリンク「アクセシビリティ」にフォーカスが移動する。
■音声読み上げ
「メインコンテンツへスキップ　メイン ナビゲーション　メイン ナビゲーションをスキップ　リンク A・・・」 ",それぞれクリックした後にフォーカス移動した箇所で読み上げは一度止まるが、tabキーを使用することで目的の場所へフォーカスが移るため、○とした。,,,,,
,G123-4b,○,"■操作手順
「メイン ナビゲーションをスキップ」を押下した後、Tabキーを押すと「サブ ナビゲーションをスキップ」にフォーカスが移動する。
「サブ ナビゲーションをスキップ」を押下した後、Tabキーを押すと「ウルトラ サブ ナビゲーションをスキップ」にフォーカスが移動する。 
「ウルトラ サブ ナビゲーションをスキップ」を押下した後、Tabキーを押すとリンク「アクセシビリティ」にフォーカスが移動する。
■音声読み上げ
「メインコンテンツへスキップ　メイン ナビゲーション　メイン ナビゲーションをスキップ　リンク A・・・」 ",それぞれクリックした後にフォーカス移動した箇所で読み上げは一度止まるが、tabキーを使用することで目的の場所へフォーカスが移るため、○とした。,,,,,
,G124-1,○,"■操作手順
スキップリンク「メインコンテンツへスキップ」を押下した後、次にTabキーを押下するとリンク「メインコンテンツにあるリンク」にフォーカスが移動する。
スキップリンク「検索ボックスへスキップ」を押下した後、次にTabキーを押下すると検索のテキストフィールドにフォーカスが移動する。
スキップリンク「メインメニューへスキップ」を押下した後、次にTabキーを押下するとリンク「このサイトについて」にフォーカスが移動する。
■音声読み上げ
「メインコンテンツへスキップ　（エンターキー）　アクセシビリティを考える会　ア　（tabキー）　メインコンテンツにあるリンク」
「検索ボックスへスキップ　（エンターキー）　検索　検査するの検　（tabキー）　検索　文字入力　エンター　で　入力」
「メインメニューへスキップ　（エンターキー）　ホーム　ホ　（tabキー）　このサイトについて」",,,,,,
,G124-2,○,"■操作手順
スキップリンク「メインコンテンツへスキップ」を押下した後、次にTabキーを押下するとリンク「メインコンテンツにあるリンク」にフォーカスが移動する。
スキップリンク「検索ボックスへスキップ」を押下した後、次にTabキーを押下すると検索のテキストフィールドにフォーカスが移動するか。
スキップリンク「メインメニューへスキップ」を押下した後、次にTabキーを押下するとリンク「このサイトについて」にフォーカスが移動するか。
■音声読み上げ
「メインコンテンツへスキップ　（エンターキー）　アクセシビリティを考える会　ア　（tabキー）　メインコンテンツにあるリンク」
「検索ボックスへスキップ　（エンターキー）　検索　検査するの検　（tabキー）　検索　文字入力　エンター　で　入力」
「メインメニューへスキップ　（エンターキー）　ホーム　ホ　（tabキー）　このサイトについて」",,,,,,
,G138,△,"■操作手順
「件名」及び「お名前」のテキストフィールドを読み上げる際に、「[必須]」もあわせて読み上げた。
strong要素でマークアップされた「[必須]」が、強調されていることが分かるように読み上げられなかった。
■音声読み上げ
「入力に際してのご注意　赤色の太字で　カクカッコ　必須　カクカッコトジと示されている項目は　テン　必須項目ですので必ず入力してくださいマル
件名 カクカッコ　必須　カクカッコトジ　コロン 　文字入力・・・」",,,,,,
,G187,-,テスト不要,,,,,,
,G196-1,△,"■操作手順
代替テキスト「5つ星中、星3個」が読み上げられ、残り四つの画像は無視されなかった。
（残り四つの画像は、ファイル名（拡張子除く）を読み上げた）

■音声読み上げ
「イツつ星中　テン　星サン個」
「Gワンナインティーシックス　マイナス　ワンa」
「Gワンナインティーシックス　マイナス　ワンa」
「Gワンナインティーシックス　マイナス　ワンb」
「Gワンナインティーシックス　マイナス　ワンb」",,,,,,
,G196-2,×,"■操作手順
代替テキスト「5つ星中、星3個」が読み上げられたが、残り四つの画像は、ファイル名が読み上げられた。 
■音声読み上げ
「評価　コロン　5つ星中　テン　星3個　G　ワンナインティーシックス　マイナス　ワン　エー　G　ワンナインティーシックス　マイナス　ワン　エー　G　ワンナインティーシックス　マイナス　ワン　ビー　G　ワンナインティーシックス　マイナス　ワン　ビー」",,,,,,
